gender ldlsiu02
F 3.166763783
F 2.610282421
M 3.688515186
M 3.43819046
M 3.457533836
F 4.928683281
M 3.77204299
F 3.161178112
F 3.292805433
F 2.642891884
F 3.491255045
F 3.023447752
F 3.828572989
F 5.280611992
M 2.841315746
F 3.1337924
M 3.982439995
M 3.519985676
M 1.794684052
F 5.792588234
F 2.656054735
M 3.092442274
M 4.732379913
F 2.470250607
F 3.968035936
F 3.017525911
F 0.89982456
F 3.32042408
F 3.134232044
F 5.208203793
F 2.301876068
F 6.178962708
F 4.718932629
M 4.058442593
M 3.351042271
F 3.613443613
M 2.994536161
F 4.082181931
F 5.361786366
F 1.92907846
M 1.879478931
F 5.51852417
F 4.222394943
M 1.810148239
M 5.342831135
M 3.772249937
F 3.055643559
M 3.180779934
M 3.088770151
F 3.947916985
M 3.506202221
M 3.321354866
M 2.642891884
F 3.547991991
F 2.504334211
F 3.302942753
M 3.573852062
F 4.199250221
F 4.423146248
M 2.846823931
M 3.966303349
M 4.853223801
F 3.52213192
F 2.618661165
F 3.47558403
F 2.057266474
F 3.150860071
F 3.373178482
F 4.04445219
M 3.003949404
F 2.907517433
F 3.23379302
F 4.029298306
F 2.363164425
F 2.668751955
F 4.129868031
F 4.177191734
M 1.184388041
F 3.245093822
M 3.169401646
M 2.351501465
M 4.374322414
F 4.070363998
F 3.448146582
M 4.758757114
F 3.077676296
M 4.028987885
M 4.251383781
F 3.044497728
F 5.692199707
F 5.003185749
F 2.513592005
F 5.493000031
M 4.416655064
M 2.800896645
F 3.147213697
F 2.874623537
F 3.878999949
F 5.790674686
M 3.881844521
M 3.150084257
M 2.722540855
F 2.878838539
F 3.382488012
M 3.240516663
F 2.477387905
F 3.214992762
M 5.136339188
F 4.296147823
M 5.1390028
F 2.261637926
F 5.237658501
F 2.975580931
F 3.066996098
F 3.472842932
F 2.848375559
F 2.932523966
M 5.347227573
M 4.499614239
F 4.476211071
F 3.301391125
F 4.129505634
F 4.601502419
M 2.525435925
M 3.610055923
F 2.896320105
F 4.406492233
M 3.165263891
F 3.392573357
M 3.7167027
M 3.765216112
F 3.144912243
M 4.103258133
F 3.07457304
F 3.423217535
F 3.125956774
M 3.733175516
M 3.31654501
F 3.068289042
M 2.995131016
M 3.671473503
M 3.030791998
F 4.489295959
F 4.391027927
M 4.330463886
M 3.97607851
F 3.009069681
F 3.953269958
F 3.395650625
F 3.22957778
